Alimento,Medida,Peso bruto (g),Peso neto (g)
Albaricoque,3 unidades,192,180
Arándanos,1 plato pequeño,-,120
Carambola,1 unidad grande,-,200
Cerezas, 1 plato pequeño ó 18 unidades,140,120
Ciruela seca con hueso,4 unidades,45,40
Ciruelas,2 ciruelas medianas,145,120
Dátil seco,2 unidades mediana,22,20
Fresa/fresón,8 unidades medianas,-,250
Granada,1 unidad pequeña,215,120
Higo seco,2 unidades medianas,-,30
Kiwi,1 unidad pequeña,100,80
Lichi en conserva,8 unidades,-,120
Mandarina,1 unidad grande,170,120
Mango, 1 plato pequeño,-,120
Manzana,1 unidad mediana,198,160
Melocotón,1 unidad pequeña,165,130
Melocotón en almíbar,2 mitades,-,120
Melocotón seco,1 unidad pequeña,-,30
Melón,1 rodaja mediana,445,250
Naranja,1 unidad,290,200
Nectarina,1 unidad pequeña,165,150
Nísperos,5 unidades medianas,322,200
Papaya pelada y troceada,1 plato grande,-,200
Pasas secas,16 unidades ó 2 puñados,-,20
Pera,1 unidad mediana,174,150
Peras en almíbar, 1 unidad pequeña,-,120
Piña en almíbar, 2 rodajas finas,-,120
Piña sin piel, 1 rodaja mediana,-,120
Plátano, 1 unidad mediana,120,80
Pomelo,1 unidad mediana,380,250
Sandía,1 rodaja mediana,395,250
Uvas blancas,"1 ramillete pequeño ó 12 unidades medianas",125,120
Uvas negras,"1 ramillete pequeño ó 12 unidades medianas",125,120
Membrillo,1 unidad mediana,385,250
Moras,"1 plato grande (plato postre)",-,250
Higos,3 unidades pequeñas,160,120
Granada,1 unidad,150
Grosella negra,"1 plato mediano (plato postre)",-,200
Grosella roja,"1 plato grande (plato postre)",-,250